AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,9.665608406066895,43.58112907409668,6.556676626205444,80.23545360565186,18.105849582172702,3.7209302325581395,359,430,29.339449541284402,6.605504587155964,"[1, 40, 47, 100, 120, 124, 136, 204, 229, 256, 263, 288, 353, 364, 420]",30
last-row-paired,-2.5,2.5,13.584329068660736,51.00480782985687,6.773503303527832,84.54308938980103,21.90721649484536,2.331002331002331,388,429,22.5,6.165137614678899,"[1, 47, 100, 124, 204, 229, 256, 263, 353]",30
last-row-paired,-2.0,2.0,23.02293860912323,54.67962980270386,6.983051300048828,88.30761909484863,32.923832923832926,2.0930232558139537,407,430,16.5,5.6880733944954125,"[1, 47, 100, 124, 204, 229, 256, 263, 353]",30
last-row-paired,-1.0,1.0,81.67158019542694,44.02631330490112,7.170692205429077,95.05854368209839,64.58333333333334,1.3921113689095126,432,431,5.190366972477064,5.151376146788991,"[1, 124, 204, 229, 263]",30
last-row-paired,-0.5,0.5,109.72641491889954,37.38060238957405,7.106004238128662,97.83148288726807,73.90300230946882,1.1574074074074074,433,432,3.694954128440367,5.0,"[204, 263]",30
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],30
last-row-paired,0.5,-0.5,130.4406349658966,29.79660142213106,7.066139221191406,101.68759346008301,78.9838337182448,0.46403712296983757,433,431,3.135321100917431,4.8577981651376145,[411],30
last-row-paired,1.0,-1.0,134.92586255073547,26.975750006735325,7.002515912055969,102.93463516235352,81.2933025404157,1.3921113689095126,433,431,3.1743119266055047,4.908256880733945,"[69, 70, 130, 253, 411]",30
last-row-paired,1.5,-1.5,137.87874221801758,24.714614436030388,6.991473913192749,103.59750318527222,82.48847926267281,1.3921113689095126,434,431,3.2889908256880735,5.036697247706422,"[50, 69, 70, 130, 253, 411]",30
last-row-paired,2.0,-2.0,141.65981090068817,22.076089039444923,7.151800632476807,103.26876163482666,84.7926267281106,2.083333333333333,434,432,3.4105504587155964,5.254587155963303,"[50, 69, 70, 130, 159, 253, 256, 411]",30
last-row-paired,2.5,-2.5,144.89150309562683,20.10220657289028,7.847996830940247,101.77374839782715,85.41666666666666,2.7906976744186047,432,430,3.639908256880734,5.5389908256880735,"[6, 50, 69, 70, 130, 159, 253, 256, 411, 416]",30
last-row-paired,3.0,-3.0,148.1866356730461,18.222768172621727,8.280030250549316,99.6183557510376,86.11111111111111,3.0303030303030303,432,429,3.908256880733945,6.052752293577981,"[6, 50, 65, 69, 70, 80, 130, 159, 253, 256, 304, 411, 416]",30
